STU_ID,X1RACE,X1SEX,X1SES,X1SCIEFF,N1COURSE,X1SCIID,X1SCIUTI,X1SCIINT,S1TEFRNDS,S1TEACTIV,S1TEPOPULAR,S1TEMAKEFUN,X1CONTROL,X1LOCALE,N1SEX,X1TSRACE,X1TSCERT,N1HIDEG,N1SCIJOB,N1ALTCERT,N1SCIYRS912,N1GROUP,N1INTEREST,N1CONCEPTS,N1TERMS,S1STCHVALUES,S1STCHRESPCT,S1STCHFAIR,S1STCHCONF,S1STCHMISTKE,X3TGPAENG,X3TGPAMAT,X3TGPASCI,COURSE_TYPE,ALTCERT,SCIJOB,X1GEN,SCH_CONTROL,N1GEN,SCH_LOCALE
10022,2.0,1.0,1.4372,-0.61,,2.15,1.69,0.5,3.0,3.0,2.0,2.0,2,1,,,,,,,,,,,,1.0,3.0,3.0,4.0,2.0,3.0,3.5,3.0,Other Science,Yes,Yes,Male,Non-public,,City
10024,8.0,1.0,0.1402,-0.05,6.0,0.91,0.1,0.09,3.0,2.0,2.0,3.0,1,2,2.0,8.0,1.0,4.0,0.0,0.0,10.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.5,3.5,Physical Science,No,No,Male,Public,Female,Suburban
10025,8.0,1.0,-0.1901,-0.9,6.0,-1.57,0.1,-2.15,1.0,1.0,2.0,4.0,1,1,2.0,9.0,1.0,4.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,Physical Science,No,No,Male,Public,Female,City
10026,2.0,2.0,1.1142,-0.89,14.0,-0.33,1.27,1.19,2.0,3.0,4.0,4.0,1,3,2.0,8.0,1.0,3.0,0.0,0.0,6.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.5,3.5,Physical Science,No,No,Female,Public,Female,Town
10027,8.0,2.0,0.0887,,,-1.57,,,3.0,3.0,3.0,3.0,2,1,,,,,,,,,,,,,,,,,1.5,1.5,2.0,Other Science,Yes,Yes,Female,Non-public,,City
10028,,1.0,,,11.0,,,,,,,,2,1,1.0,8.0,1.0,3.0,0.0,0.0,16.0,2.0,4.0,4.0,4.0,,,,,,3.0,3.5,3.0,Life Science,No,No,Male,Non-public,Male,City
10029,8.0,1.0,-0.8297,-1.02,7.0,-1.57,-0.89,0.16,3.0,3.0,3.0,3.0,1,4,1.0,8.0,5.0,3.0,0.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.5,1.5,1.5,Physical Science,Yes,No,Male,Public,Male,Rural
10030,8.0,2.0,1.5809,-0.05,11.0,-0.94,,,3.0,2.0,3.0,3.0,1,1,2.0,8.0,1.0,3.0,1.0,0.0,9.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,Life Science,No,Yes,Female,Public,Female,City
10031,3.0,2.0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2.5,1.5,3.0,Other Science,Yes,Yes,Female,Public,,City
10033,6.0,2.0,-0.6008,,6.0,-0.33,,,3.0,3.0,3.0,3.0,1,2,2.0,8.0,1.0,4.0,1.0,0.0,6.0,1.0,2.0,4.0,3.0,,,,,,,,,Physical Science,No,Yes,Female,Public,Female,Suburban
10034,5.0,2.0,-0.0409,-2.05,6.0,0.27,0.23,-1.12,3.0,3.0,3.0,3.0,1,1,2.0,8.0,1.0,4.0,0.0,0.0,10.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Physical Science,No,No,Female,Public,Female,City
10035,3.0,1.0,,,6.0,,,,,,,,1,4,2.0,8.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,,,,,,1.5,2.0,1.5,Physical Science,No,No,Male,Public,Female,Rural
10036,8.0,2.0,0.1493,,,-0.33,,,3.0,3.0,3.0,3.0,2,1,,,,,,,,,,,,,,,,,3.0,3.0,3.0,Other Science,Yes,Yes,Female,Non-public,,City
10037,8.0,2.0,0.5238,,,0.91,,,3.0,3.0,4.0,4.0,1,4,,,,,,,,,,,,,,,,,4.0,4.0,4.0,Other Science,Yes,Yes,Female,Public,,Rural
10038,2.0,1.0,1.0472,-0.9,,-0.33,,0.09,2.0,2.0,3.0,3.0,1,2,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.5,2.0,1.0,Other Science,Yes,Yes,Male,Public,,Suburban
10039,2.0,2.0,0.6753,-0.59,11.0,0.31,0.1,-0.21,3.0,3.0,3.0,3.0,1,1,1.0,8.0,1.0,4.0,1.0,0.0,16.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.5,3.5,Life Science,No,Yes,Female,Public,Male,City
10040,8.0,1.0,-0.08199999999999999,,,2.15,,,2.0,2.0,3.0,3.0,1,4,,,,,,,,,,,,,,,,,2.0,1.5,1.0,Other Science,Yes,Yes,Male,Public,,Rural
10041,8.0,2.0,-0.7046,,,-1.57,,,2.0,2.0,2.0,2.0,1,2,,,,,,,,,,,,,,,,,2.0,2.0,2.5,Other Science,Yes,Yes,Female,Public,,Suburban
10042,8.0,1.0,-0.0821,0.67,,0.27,-0.76,0.5,3.0,2.0,4.0,4.0,1,1,1.0,8.0,1.0,3.0,0.0,0.0,1.0,,,,,1.0,3.0,2.0,2.0,2.0,1.0,0.25,1.0,Other Science,No,No,Male,Public,Male,City
10043,8.0,2.0,-0.3642,0.25,,-0.33,0.1,0.11,3.0,3.0,3.0,3.0,1,2,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,Other Science,Yes,Yes,Female,Public,,Suburban
10044,8.0,1.0,1.3291,-0.59,,0.27,-0.89,-0.17,3.0,3.0,3.0,3.0,2,1,1.0,8.0,1.0,4.0,0.0,0.0,23.0,,,,,1.0,1.0,2.0,1.0,3.0,3.5,3.0,3.0,Other Science,No,No,Male,Non-public,Male,City
10045,8.0,2.0,-0.2739,-0.17,,-0.33,0.1,0.56,3.0,3.0,3.0,3.0,2,2,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,,,,Other Science,Yes,Yes,Female,Non-public,,Suburban
10046,8.0,2.0,-0.1707,-0.48,16.0,-0.33,1.27,-1.38,2.0,2.0,3.0,3.0,1,4,2.0,8.0,3.0,3.0,1.0,1.0,8.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.5,1.5,2.0,Physical Science,Yes,Yes,Female,Public,Female,Rural
10047,,1.0,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,Other Science,Yes,Yes,Male,Public,,Suburban
10048,8.0,2.0,-0.2888,-0.05,,0.31,0.71,0.94,3.0,3.0,3.0,3.0,1,4,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,2.5,2.0,2.5,Other Science,Yes,Yes,Female,Public,,Rural
10049,5.0,2.0,0.3972,1.83,16.0,-0.33,0.28,0.54,3.0,3.0,3.0,3.0,2,1,2.0,8.0,0.0,3.0,1.0,0.0,14.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.5,4.0,4.0,Physical Science,No,Yes,Female,Non-public,Female,City
10050,8.0,2.0,-1.1012,-0.16,,-1.57,-1.03,-2.22,3.0,3.0,4.0,4.0,1,1,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,1.5,2.0,1.0,Other Science,Yes,Yes,Female,Public,,City
